date;nick;id_discord
"2021-10-11";"@Gomex (He/Him)";"486926559345901569"
"2021-10-12";"@kadidjah | ela/dela";"892054925616504884"
"2021-10-12";"@Dandara | ela/ella";"630937883791982592"
"2021-10-12";"@givanaldo";"712770781771202600"
"2021-10-12";"@Pedro Gonzalez ele/dele";"580215692691767317"
"2021-10-13";"@Gabriel RF (ele/dele)";"204349445641338880"
"2021-10-13";"@Lis R. Barreto";"497178591990382623"
"2021-10-13";"@Ana Dulce | ela/dela";"483456890349682690"
"2021-10-13";"@Jailson Pereira (ele/dele)";"358059938473312256"
"2021-10-13";"@adorilson (ele/él/he)";"395696155373338624"
